source_id,model,config_family,seed,checkpoint_role,checkpoint_path,checkpoint_file_sha256,checkpoint_model_state_sha256,checkpoint_epoch,slice,accuracy,loss,dataset_hash,eval_batch_size,wall_clock_sec,peak_memory_mb,started_at_utc,ended_at_utc,status,gpu,gpu_name,dtype_policy,outer_model_dtype,GDN_KERNEL_DTYPE,TRITON_F32_DEFAULT,tf32_enabled,physical_event_id
gdn-s123-best,gdn,gdnxk-h2-ek4-ev4-usegate0,123,best,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-2080ti/20260725-01-current-baselines-longer-mqar-2080ti-formal/gdn-s123-fixedinit-s124-d123-b64ga4-formal/best.pt,3e6b145dcb435f863bf7b09f8ea344da94a871f9ff26b183427aa55195c79a81,c21cb50d4f9001c649ca70e584a6fb52f580c47d890460712b9fc9c34fa482aa,4,1024x256,0.967875,1.1765468120574951,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,32,35.959781646728516,2061.97412109375,2026-07-24T22:10:17.574617+00:00,2026-07-24T22:10:54.393497+00:00,completed,1,NVIDIA GeForce RTX 2080 Ti,float32_ieee_tf32_off,float32,float32,ieee,False,formal-gdn-c21cb50d4f9001c6-1024x256-n500-b32
gdn-s123-best,gdn,gdnxk-h2-ek4-ev4-usegate0,123,best,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-2080ti/20260725-01-current-baselines-longer-mqar-2080ti-formal/gdn-s123-fixedinit-s124-d123-b64ga4-formal/best.pt,3e6b145dcb435f863bf7b09f8ea344da94a871f9ff26b183427aa55195c79a81,c21cb50d4f9001c649ca70e584a6fb52f580c47d890460712b9fc9c34fa482aa,4,2048x512,0.48097265625,4.091746896505356,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,32,40.50730872154236,4110.72412109375,2026-07-24T22:10:54.400076+00:00,2026-07-24T22:11:35.770633+00:00,completed,1,NVIDIA GeForce RTX 2080 Ti,float32_ieee_tf32_off,float32,float32,ieee,False,formal-gdn-c21cb50d4f9001c6-2048x512-n500-b32
gdn-s123-best,gdn,gdnxk-h2-ek4-ev4-usegate0,123,best,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-2080ti/20260725-01-current-baselines-longer-mqar-2080ti-formal/gdn-s123-fixedinit-s124-d123-b64ga4-formal/best.pt,3e6b145dcb435f863bf7b09f8ea344da94a871f9ff26b183427aa55195c79a81,c21cb50d4f9001c649ca70e584a6fb52f580c47d890460712b9fc9c34fa482aa,4,4096x1024,0.075884765625,7.267910480499268,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,32,66.217031955719,8208.22412109375,2026-07-24T22:11:35.777092+00:00,2026-07-24T22:12:42.863327+00:00,completed,1,NVIDIA GeForce RTX 2080 Ti,float32_ieee_tf32_off,float32,float32,ieee,False,formal-gdn-c21cb50d4f9001c6-4096x1024-n500-b32
gdn-s123-best,gdn,gdnxk-h2-ek4-ev4-usegate0,123,best,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-2080ti/20260725-01-current-baselines-longer-mqar-2080ti-formal/gdn-s123-fixedinit-s124-d123-b64ga4-formal/best.pt,3e6b145dcb435f863bf7b09f8ea344da94a871f9ff26b183427aa55195c79a81,c21cb50d4f9001c649ca70e584a6fb52f580c47d890460712b9fc9c34fa482aa,4,8190x512,0.2957578125,5.434274852275848,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,16,51.97799801826477,8208.22412109375,2026-07-24T22:12:42.870382+00:00,2026-07-24T22:13:35.709614+00:00,completed,1,NVIDIA GeForce RTX 2080 Ti,float32_ieee_tf32_off,float32,float32,ieee,False,formal-gdn-c21cb50d4f9001c6-8190x512-n500-b16
gdn-s123-best,gdn,gdnxk-h2-ek4-ev4-usegate0,123,best,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-2080ti/20260725-01-current-baselines-longer-mqar-2080ti-formal/gdn-s123-fixedinit-s124-d123-b64ga4-formal/best.pt,3e6b145dcb435f863bf7b09f8ea344da94a871f9ff26b183427aa55195c79a81,c21cb50d4f9001c649ca70e584a6fb52f580c47d890460712b9fc9c34fa482aa,4,8190x2047,0.003668783585735222,9.03839984536171,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,16,49.19546318054199,8208.22412109375,2026-07-24T22:13:35.716474+00:00,2026-07-24T22:14:25.806437+00:00,completed,1,NVIDIA GeForce RTX 2080 Ti,float32_ieee_tf32_off,float32,float32,ieee,False,formal-gdn-c21cb50d4f9001c6-8190x2047-n500-b16
flash-s124-last,flash,cb64-r16-joint,124,last,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-2080ti/20260725-01-current-baselines-longer-mqar-2080ti-formal/flash-s124-fixedinit-s124-d123-b64ga4-formal/last.pt,66b2fc85f7238d0ee656c115b7e0080383d2f4be741a000a7abecca1f640c471,2b99ca677e62d22e4f2a9fa4d0eae0f22c9720ee809236916ba77a45c46f19cc,4,1024x256,0.914328125,0.7088468484580517,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,32,11.74340271949768,2061.3359375,2026-07-24T22:06:34.019327+00:00,2026-07-24T22:06:46.623564+00:00,completed,1,NVIDIA GeForce RTX 2080 Ti,float32_ieee_tf32_off,float32,not_applicable,ieee,False,formal-flash-2b99ca677e62d22e-1024x256-n500-b32
flash-s124-last,flash,cb64-r16-joint,124,last,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-2080ti/20260725-01-current-baselines-longer-mqar-2080ti-formal/flash-s124-fixedinit-s124-d123-b64ga4-formal/last.pt,66b2fc85f7238d0ee656c115b7e0080383d2f4be741a000a7abecca1f640c471,2b99ca677e62d22e4f2a9fa4d0eae0f22c9720ee809236916ba77a45c46f19cc,4,2048x512,0.4763984375,3.2007381469011307,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,32,13.059641599655151,4110.1171875,2026-07-24T22:06:46.629302+00:00,2026-07-24T22:07:00.550212+00:00,completed,1,NVIDIA GeForce RTX 2080 Ti,float32_ieee_tf32_off,float32,not_applicable,ieee,False,formal-flash-2b99ca677e62d22e-2048x512-n500-b32
flash-s124-last,flash,cb64-r16-joint,124,last,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-2080ti/20260725-01-current-baselines-longer-mqar-2080ti-formal/flash-s124-fixedinit-s124-d123-b64ga4-formal/last.pt,66b2fc85f7238d0ee656c115b7e0080383d2f4be741a000a7abecca1f640c471,2b99ca677e62d22e4f2a9fa4d0eae0f22c9720ee809236916ba77a45c46f19cc,4,4096x1024,0.092451171875,7.611544609069824,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,32,17.61930561065674,8207.6796875,2026-07-24T22:07:00.556424+00:00,2026-07-24T22:07:19.051599+00:00,completed,1,NVIDIA GeForce RTX 2080 Ti,float32_ieee_tf32_off,float32,not_applicable,ieee,False,formal-flash-2b99ca677e62d22e-4096x1024-n500-b32
flash-s124-last,flash,cb64-r16-joint,124,last,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-2080ti/20260725-01-current-baselines-longer-mqar-2080ti-formal/flash-s124-fixedinit-s124-d123-b64ga4-formal/last.pt,66b2fc85f7238d0ee656c115b7e0080383d2f4be741a000a7abecca1f640c471,2b99ca677e62d22e4f2a9fa4d0eae0f22c9720ee809236916ba77a45c46f19cc,4,8190x512,0.2731953125,6.039020374417305,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,16,32.05434203147888,8207.6796875,2026-07-24T22:07:19.057826+00:00,2026-07-24T22:07:51.987760+00:00,completed,1,NVIDIA GeForce RTX 2080 Ti,float32_ieee_tf32_off,float32,not_applicable,ieee,False,formal-flash-2b99ca677e62d22e-8190x512-n500-b16
flash-s124-last,flash,cb64-r16-joint,124,last,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-2080ti/20260725-01-current-baselines-longer-mqar-2080ti-formal/flash-s124-fixedinit-s124-d123-b64ga4-formal/last.pt,66b2fc85f7238d0ee656c115b7e0080383d2f4be741a000a7abecca1f640c471,2b99ca677e62d22e4f2a9fa4d0eae0f22c9720ee809236916ba77a45c46f19cc,4,8190x2047,0.0055857352222765016,10.92764613032341,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,16,32.91657900810242,8207.6796875,2026-07-24T22:07:51.993953+00:00,2026-07-24T22:08:25.809909+00:00,completed,1,NVIDIA GeForce RTX 2080 Ti,float32_ieee_tf32_off,float32,not_applicable,ieee,False,formal-flash-2b99ca677e62d22e-8190x2047-n500-b16
flash-s124-best,flash,cb64-r16-joint,124,best,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-2080ti/20260725-01-current-baselines-longer-mqar-2080ti-formal/flash-s124-fixedinit-s124-d123-b64ga4-formal/best.pt,3afd3be0cc3482799a38caa79760e4cc4a042732cfaec60bdd12dadd9caec677,1e81fb42d69fe7dab4000df549f97d7e65c6f413b9e5a27b9a0d85b4fae990c8,3,1024x256,0.9223359375,0.688281774520874,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,32,11.574082374572754,2061.3359375,2026-07-24T22:04:41.249541+00:00,2026-07-24T22:04:53.672902+00:00,completed,1,NVIDIA GeForce RTX 2080 Ti,float32_ieee_tf32_off,float32,not_applicable,ieee,False,formal-flash-1e81fb42d69fe7da-1024x256-n500-b32
flash-s124-best,flash,cb64-r16-joint,124,best,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-2080ti/20260725-01-current-baselines-longer-mqar-2080ti-formal/flash-s124-fixedinit-s124-d123-b64ga4-formal/best.pt,3afd3be0cc3482799a38caa79760e4cc4a042732cfaec60bdd12dadd9caec677,1e81fb42d69fe7dab4000df549f97d7e65c6f413b9e5a27b9a0d85b4fae990c8,3,2048x512,0.55973046875,2.631263390183449,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,32,13.079618692398071,4110.1171875,2026-07-24T22:04:53.678583+00:00,2026-07-24T22:05:07.613309+00:00,completed,1,NVIDIA GeForce RTX 2080 Ti,float32_ieee_tf32_off,float32,not_applicable,ieee,False,formal-flash-1e81fb42d69fe7da-2048x512-n500-b32
flash-s124-best,flash,cb64-r16-joint,124,best,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-2080ti/20260725-01-current-baselines-longer-mqar-2080ti-formal/flash-s124-fixedinit-s124-d123-b64ga4-formal/best.pt,3afd3be0cc3482799a38caa79760e4cc4a042732cfaec60bdd12dadd9caec677,1e81fb42d69fe7dab4000df549f97d7e65c6f413b9e5a27b9a0d85b4fae990c8,3,4096x1024,0.142392578125,6.300000995397568,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,32,17.644052267074585,8207.6796875,2026-07-24T22:05:07.619558+00:00,2026-07-24T22:05:26.120649+00:00,completed,1,NVIDIA GeForce RTX 2080 Ti,float32_ieee_tf32_off,float32,not_applicable,ieee,False,formal-flash-1e81fb42d69fe7da-4096x1024-n500-b32
flash-s124-best,flash,cb64-r16-joint,124,best,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-2080ti/20260725-01-current-baselines-longer-mqar-2080ti-formal/flash-s124-fixedinit-s124-d123-b64ga4-formal/best.pt,3afd3be0cc3482799a38caa79760e4cc4a042732cfaec60bdd12dadd9caec677,1e81fb42d69fe7dab4000df549f97d7e65c6f413b9e5a27b9a0d85b4fae990c8,3,8190x512,0.339484375,5.135512977838516,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,16,32.88789987564087,8207.6796875,2026-07-24T22:05:26.126152+00:00,2026-07-24T22:05:59.873911+00:00,completed,1,NVIDIA GeForce RTX 2080 Ti,float32_ieee_tf32_off,float32,not_applicable,ieee,False,formal-flash-1e81fb42d69fe7da-8190x512-n500-b16
flash-s124-best,flash,cb64-r16-joint,124,best,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-2080ti/20260725-01-current-baselines-longer-mqar-2080ti-formal/flash-s124-fixedinit-s124-d123-b64ga4-formal/best.pt,3afd3be0cc3482799a38caa79760e4cc4a042732cfaec60bdd12dadd9caec677,1e81fb42d69fe7dab4000df549f97d7e65c6f413b9e5a27b9a0d85b4fae990c8,3,8190x2047,0.014347826086956521,9.943826854228973,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,16,33.25701546669006,8207.6796875,2026-07-24T22:05:59.879394+00:00,2026-07-24T22:06:34.013404+00:00,completed,1,NVIDIA GeForce RTX 2080 Ti,float32_ieee_tf32_off,float32,not_applicable,ieee,False,formal-flash-1e81fb42d69fe7da-8190x2047-n500-b16
gdn-s124-last,gdn,gdnxk-h2-ek4-ev4-usegate0,124,last,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-2080ti/20260725-01-current-baselines-longer-mqar-2080ti-formal/gdn-s124-fixedinit-s124-d123-b64ga4-formal/last.pt,b5732f7001f6c35089254ab51fa2d0ee5a1c280b7a416ea24843e2f427399dbe,ce5133589a6175ef516691cb31fa73d1152bf6a00f5c24c4171cbc869ff4d44e,4,1024x256,0.96659375,1.192404419183731,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,32,26.004449605941772,2061.97412109375,2026-07-24T22:14:25.813499+00:00,2026-07-24T22:14:52.665058+00:00,completed,1,NVIDIA GeForce RTX 2080 Ti,float32_ieee_tf32_off,float32,float32,ieee,False,formal-gdn-ce5133589a6175ef-1024x256-n500-b32
