accuracy,checkpoint_role,dataset_hash,logical_source_id,loss,peak_allocated_mib,raw_result_path,remat_mode,seed,shape,status,variant,wall_clock_sec
0.18354567754268647,last,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,3090-a0-fixed-off-s125-bf16-last,4.8994544372558595,10257.1806640625,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260729-02-mqar-deterministic-selected-read-regression/outputs/3090/20260729-deterministic-selected-01/evaluation/formal/formal-3090-a0-fixed-off-s125-bf16-last-bf16-8190x2047-n500-b16-f6922ebda1094fbd-z22ed61c8-fd7dbb128/result.json,off,125,8190x2047,completed,a0-fixed-off,25.701557213440537
0.9814296875,best,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,3090-a0-fixed-off-s125-bf16-best,0.2542142902612686,10257.18115234375,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260729-02-mqar-deterministic-selected-read-regression/outputs/3090/20260729-deterministic-selected-01/evaluation/formal/formal-3090-a0-fixed-off-s125-bf16-last-bf16-1024x256-n500-b128-f6922ebda1094fbd-z22ed61c8-fd7dbb128/result.json,off,125,1024x256,deduplicated,a0-fixed-off,8.26402420271188
0.8655078125,best,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,3090-a0-fixed-off-s125-bf16-best,1.019446882724762,10257.1806640625,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260729-02-mqar-deterministic-selected-read-regression/outputs/3090/20260729-deterministic-selected-01/evaluation/formal/formal-3090-a0-fixed-off-s125-bf16-last-bf16-2048x512-n500-b64-f6922ebda1094fbd-z22ed61c8-fd7dbb128/result.json,off,125,2048x512,deduplicated,a0-fixed-off,9.39447127096355
0.517294921875,best,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,3090-a0-fixed-off-s125-bf16-best,2.7353293833732604,10257.1806640625,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260729-02-mqar-deterministic-selected-read-regression/outputs/3090/20260729-deterministic-selected-01/evaluation/formal/formal-3090-a0-fixed-off-s125-bf16-last-bf16-4096x1024-n500-b32-f6922ebda1094fbd-z22ed61c8-fd7dbb128/result.json,off,125,4096x1024,deduplicated,a0-fixed-off,13.662451793439686
0.7407109375,best,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,3090-a0-fixed-off-s125-bf16-best,1.6621626315116882,10257.1806640625,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260729-02-mqar-deterministic-selected-read-regression/outputs/3090/20260729-deterministic-selected-01/evaluation/formal/formal-3090-a0-fixed-off-s125-bf16-last-bf16-8190x512-n500-b16-f6922ebda1094fbd-z22ed61c8-fd7dbb128/result.json,off,125,8190x512,deduplicated,a0-fixed-off,25.466771085746586
0.18354567754268647,best,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,3090-a0-fixed-off-s125-bf16-best,4.8994544372558595,10257.1806640625,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260729-02-mqar-deterministic-selected-read-regression/outputs/3090/20260729-deterministic-selected-01/evaluation/formal/formal-3090-a0-fixed-off-s125-bf16-last-bf16-8190x2047-n500-b16-f6922ebda1094fbd-z22ed61c8-fd7dbb128/result.json,off,125,8190x2047,deduplicated,a0-fixed-off,25.701557213440537
0.9814296875,last,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,3090-a1-fixed-post-phase1-s125-bf16-last,0.2542142902612686,10257.18115234375,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260729-02-mqar-deterministic-selected-read-regression/outputs/3090/20260729-deterministic-selected-01/evaluation/formal/formal-3090-a0-fixed-off-s125-bf16-last-bf16-1024x256-n500-b128-f6922ebda1094fbd-z22ed61c8-fd7dbb128/result.json,post_phase1,125,1024x256,deduplicated,a1-fixed-post-phase1,8.26402420271188
0.8655078125,last,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,3090-a1-fixed-post-phase1-s125-bf16-last,1.019446882724762,10257.1806640625,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260729-02-mqar-deterministic-selected-read-regression/outputs/3090/20260729-deterministic-selected-01/evaluation/formal/formal-3090-a0-fixed-off-s125-bf16-last-bf16-2048x512-n500-b64-f6922ebda1094fbd-z22ed61c8-fd7dbb128/result.json,post_phase1,125,2048x512,deduplicated,a1-fixed-post-phase1,9.39447127096355
0.517294921875,last,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,3090-a1-fixed-post-phase1-s125-bf16-last,2.7353293833732604,10257.1806640625,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260729-02-mqar-deterministic-selected-read-regression/outputs/3090/20260729-deterministic-selected-01/evaluation/formal/formal-3090-a0-fixed-off-s125-bf16-last-bf16-4096x1024-n500-b32-f6922ebda1094fbd-z22ed61c8-fd7dbb128/result.json,post_phase1,125,4096x1024,deduplicated,a1-fixed-post-phase1,13.662451793439686
0.7407109375,last,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,3090-a1-fixed-post-phase1-s125-bf16-last,1.6621626315116882,10257.1806640625,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260729-02-mqar-deterministic-selected-read-regression/outputs/3090/20260729-deterministic-selected-01/evaluation/formal/formal-3090-a0-fixed-off-s125-bf16-last-bf16-8190x512-n500-b16-f6922ebda1094fbd-z22ed61c8-fd7dbb128/result.json,post_phase1,125,8190x512,deduplicated,a1-fixed-post-phase1,25.466771085746586
0.18354567754268647,last,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,3090-a1-fixed-post-phase1-s125-bf16-last,4.8994544372558595,10257.1806640625,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260729-02-mqar-deterministic-selected-read-regression/outputs/3090/20260729-deterministic-selected-01/evaluation/formal/formal-3090-a0-fixed-off-s125-bf16-last-bf16-8190x2047-n500-b16-f6922ebda1094fbd-z22ed61c8-fd7dbb128/result.json,post_phase1,125,8190x2047,deduplicated,a1-fixed-post-phase1,25.701557213440537
0.9814296875,best,f30f1e09e1300deb2e0f430d7c50c47a77f58f43657aa4d6f425f938a91a9acb,3090-a1-fixed-post-phase1-s125-bf16-best,0.2542142902612686,10257.18115234375,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260729-02-mqar-deterministic-selected-read-regression/outputs/3090/20260729-deterministic-selected-01/evaluation/formal/formal-3090-a0-fixed-off-s125-bf16-last-bf16-1024x256-n500-b128-f6922ebda1094fbd-z22ed61c8-fd7dbb128/result.json,post_phase1,125,1024x256,deduplicated,a1-fixed-post-phase1,8.26402420271188
0.8655078125,best,e446efc9f4dc774377c56c403a468c747870beb18ff0320f15df794dcb69f015,3090-a1-fixed-post-phase1-s125-bf16-best,1.019446882724762,10257.1806640625,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260729-02-mqar-deterministic-selected-read-regression/outputs/3090/20260729-deterministic-selected-01/evaluation/formal/formal-3090-a0-fixed-off-s125-bf16-last-bf16-2048x512-n500-b64-f6922ebda1094fbd-z22ed61c8-fd7dbb128/result.json,post_phase1,125,2048x512,deduplicated,a1-fixed-post-phase1,9.39447127096355
0.517294921875,best,0981292ce8ebea1402a4c3a7a6655dfc1de42688c329bd5ea921541a0f1d16ed,3090-a1-fixed-post-phase1-s125-bf16-best,2.7353293833732604,10257.1806640625,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260729-02-mqar-deterministic-selected-read-regression/outputs/3090/20260729-deterministic-selected-01/evaluation/formal/formal-3090-a0-fixed-off-s125-bf16-last-bf16-4096x1024-n500-b32-f6922ebda1094fbd-z22ed61c8-fd7dbb128/result.json,post_phase1,125,4096x1024,deduplicated,a1-fixed-post-phase1,13.662451793439686
0.7407109375,best,37a8533a985fabd3db03daf9dfd3a8e0936513ab724039c63b9a22bf352d002d,3090-a1-fixed-post-phase1-s125-bf16-best,1.6621626315116882,10257.1806640625,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260729-02-mqar-deterministic-selected-read-regression/outputs/3090/20260729-deterministic-selected-01/evaluation/formal/formal-3090-a0-fixed-off-s125-bf16-last-bf16-8190x512-n500-b16-f6922ebda1094fbd-z22ed61c8-fd7dbb128/result.json,post_phase1,125,8190x512,deduplicated,a1-fixed-post-phase1,25.466771085746586
0.18354567754268647,best,8c16a91ea127bb7bf2130238ecd56b49fb1fd73bb3e0c2f4c586ddba8e9b97a9,3090-a1-fixed-post-phase1-s125-bf16-best,4.8994544372558595,10257.1806640625,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260729-02-mqar-deterministic-selected-read-regression/outputs/3090/20260729-deterministic-selected-01/evaluation/formal/formal-3090-a0-fixed-off-s125-bf16-last-bf16-8190x2047-n500-b16-f6922ebda1094fbd-z22ed61c8-fd7dbb128/result.json,post_phase1,125,8190x2047,deduplicated,a1-fixed-post-phase1,25.701557213440537
