config,run_id,source,comparison_scope,gpu,seed,data_seed,num_heads,expand_v,batch_accum_profile,dtype_policy,actual_kernel_dtype,validation_index,validation_phase,approx_epoch,raw_epoch_index,slice_group,slice,metric,value
gdn-h2-ev10-usegate0-s127-d123,gdn-h2-ev10-s127-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,1,127,123,2,10,b64_ga4,float32,float32,3,mid_epoch,1.5,1,input_seq_len,64,valid/input_seq_len/accuracy-64,0.9998333333333334
gdn-h2-ev10-usegate0-s127-d123,gdn-h2-ev10-s127-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,1,127,123,2,10,b64_ga4,float32,float32,4,epoch_end,2.0,1,input_seq_len,64,valid/input_seq_len/accuracy-64,0.999875
gdn-h2-ev10-usegate0-s127-d123,gdn-h2-ev10-s127-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,1,127,123,2,10,b64_ga4,float32,float32,5,mid_epoch,2.5,2,input_seq_len,64,valid/input_seq_len/accuracy-64,0.9998333333333334
gdn-h2-ev10-usegate0-s127-d123,gdn-h2-ev10-s127-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,1,127,123,2,10,b64_ga4,float32,float32,6,epoch_end,3.0,2,input_seq_len,64,valid/input_seq_len/accuracy-64,0.9998333333333334
gdn-h2-ev10-usegate0-s127-d123,gdn-h2-ev10-s127-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,1,127,123,2,10,b64_ga4,float32,float32,7,mid_epoch,3.5,3,input_seq_len,64,valid/input_seq_len/accuracy-64,0.9998333333333334
gdn-h2-ev10-usegate0-s127-d123,gdn-h2-ev10-s127-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,1,127,123,2,10,b64_ga4,float32,float32,8,epoch_end,4.0,3,input_seq_len,64,valid/input_seq_len/accuracy-64,0.9998333333333334
gdn-h2-ev10-usegate0-s127-d123,gdn-h2-ev10-s127-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,1,127,123,2,10,b64_ga4,float32,float32,1,mid_epoch,0.5,0,mqar_case,1024x256,valid/mqar_case/accuracy-1024x256,0.421515625
gdn-h2-ev10-usegate0-s127-d123,gdn-h2-ev10-s127-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,1,127,123,2,10,b64_ga4,float32,float32,2,epoch_end,1.0,0,mqar_case,1024x256,valid/mqar_case/accuracy-1024x256,0.7273671875
gdn-h2-ev10-usegate0-s127-d123,gdn-h2-ev10-s127-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,1,127,123,2,10,b64_ga4,float32,float32,3,mid_epoch,1.5,1,mqar_case,1024x256,valid/mqar_case/accuracy-1024x256,0.76400390625
gdn-h2-ev10-usegate0-s127-d123,gdn-h2-ev10-s127-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,1,127,123,2,10,b64_ga4,float32,float32,4,epoch_end,2.0,1,mqar_case,1024x256,valid/mqar_case/accuracy-1024x256,0.80948046875
gdn-h2-ev10-usegate0-s127-d123,gdn-h2-ev10-s127-d123-b64-ga4-fp32-noearly4ep,20260520_gdn_h2_ev10_multiseed_followup,b64_ga4_fp32_official,1,127,123,2,10,b64_ga4,float32,float32,5,mid_epoch,2.5,2,mqar_case,1024x256,valid/mqar_case/accuracy-1024x256,0.814359375
